indicator,nonnull_cells
Gross national expenditure (% of GDP),95
"Industry (including construction), value added (constant LCU)",95
Households and NPISHs Final consumption expenditure (current LCU),95
"Foreign direct investment, net inflows (% of GDP)",95
"Agriculture, forestry, and fishing, value added (constant LCU)",95
Monetary Sector credit to private sector (% GDP),95
General government final consumption expenditure (current LCU),95
"Services, value added (constant 2015 US$)",95
Gross capital formation (current US$),95
Gross fixed capital formation (current US$),95
General government final consumption expenditure (% of GDP),95
Gross fixed capital formation (% of GDP),95
Final consumption expenditure (current US$),95
Gross national expenditure deflator (base year varies by country),95
Gross national expenditure (current LCU),95
Final consumption expenditure (current LCU),95
Net domestic credit (current LCU),95
Households and NPISHs Final consumption expenditure (current US$),95
Domestic credit to private sector by banks (% of GDP),95
Discrepancy in expenditure estimate of GDP (current LCU),95
Gross domestic savings (current LCU),95
Gross domestic savings (% of GDP),95
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",95
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",94
General government final consumption expenditure (annual % growth),94
"Net bilateral aid flows from DAC donors, Finland (current US$)",94
Households and NPISHs Final consumption expenditure per capita growth (annual %),94
Final consumption expenditure (annual % growth),94
"Primary education, teachers",94
Gross fixed capital formation (annual % growth),94
"Inflation, consumer prices (annual %)",94
Households and NPISHs Final consumption expenditure (annual % growth),94
"Manufacturing, value added (annual % growth)",93
"Services, value added (annual % growth)",93
Broad money to total reserves ratio,93
Net ODA received (% of gross capital formation),93
"Agriculture, forestry, and fishing, value added (annual % growth)",93
GNI growth (annual %),93
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",93
"Industry (including construction), value added (annual % growth)",93
Broad money growth (annual %),92
Claims on central government (annual growth as % of broad money),92
Claims on private sector (annual growth as % of broad money),92
"IFC, private nonguaranteed (NFL, US$)",91
Refugees under the mandate of the UNHCR by country or territory of origin,91
Forest rents (% of GDP),89
Military expenditure (current USD),89
Natural gas rents (% of GDP),89
Adjusted savings: consumption of fixed capital (current US$),89
Total natural resources rents (% of GDP),89
"Net official flows from UN agencies, UNFPA (current US$)",89
Mineral rents (% of GDP),89
Oil rents (% of GDP),89
Military expenditure (% of GDP),89
Military expenditure (current LCU),89
Import value index (2015 = 100),88
Ores and metals exports (% of merchandise exports),88
Fuel imports (% of merchandise imports),88
Agricultural raw materials exports (% of merchandise exports),88
Manufactures imports (% of merchandise imports),88
Coal rents (% of GDP),88
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",88
Food imports (% of merchandise imports),88
Export value index (2015 = 100),88
Agricultural raw materials imports (% of merchandise imports),88
Food exports (% of merchandise exports),88
"Secondary education, general pupils",88
Manufactures exports (% of merchandise exports),88
"Air transport, freight (million ton-km)",88
