Country,DisasterType,Year,Deaths,Affected
Viet Nam,Storm,2016,1.0,191750.0
Malaysia,Flood,2016,,25000.0
Viet Nam,Flood,2017,14.0,400.0
Viet Nam,Storm,2017,9.0,21000.0
Viet Nam,Flood,2017,39.0,4161.0
Viet Nam,Storm,2017,14.0,692012.0
Viet Nam,Flood,2019,12.0,61540.0
Malaysia,Flood,2020,,9000.0
Malaysia,Flood,2020,,1210.0
Malaysia,Flood,2021,6.0,3000.0
Viet Nam,Flood,2000,460.0,5000004.0
Malaysia,Storm,2000,,500.0
Malaysia,Flood,2000,12.0,8000.0
Malaysia,Mass movement (wet),2002,10.0,
Malaysia,Storm,2002,2.0,155.0
Viet Nam,Flood,2002,55.0,291616.0
Viet Nam,Flood,2002,82.0,1138200.0
Viet Nam,Flood,2003,52.0,221774.0
Viet Nam,Flood,2004,53.0,18.0
Viet Nam,Mass movement (wet),2004,23.0,
Viet Nam,Storm,2014,,750.0
Viet Nam,Flood,2005,17.0,10000.0
Viet Nam,Flood,2005,67.0,33800.0
Viet Nam,Flood,2005,69.0,18000.0
Viet Nam,Drought,2005,,410000.0
Malaysia,Flood,2006,,1112.0
Malaysia,Flood,2006,,4906.0
Viet Nam,Flood,2006,42.0,50020.0
Malaysia,Flood,2006,6.0,100000.0
Viet Nam,Flood,2007,83.0,94042.0
Viet Nam,Flood,2007,55.0,150000.0
Viet Nam,Storm,2008,46.0,58511.0
Viet Nam,Storm,2008,17.0,8828.0
Viet Nam,Flood,2008,9.0,20000.0
Viet Nam,Flood,2009,20.0,700000.0
Viet Nam,Mass movement (wet),2009,13.0,1.0
Malaysia,Flood,2009,,1793.0
Viet Nam,Storm,2010,14.0,20700.0
Viet Nam,Flood,2010,84.0,679825.0
Malaysia,Flood,2011,2.0,20000.0
Viet Nam,Storm,2011,16.0,63.0
Viet Nam,Flood,2013,5.0,5000.0
Viet Nam,Flood,2013,29.0,1000.0
Viet Nam,Storm,2013,20.0,109754.0
Malaysia,Flood,2013,4.0,75000.0
Malaysia,Flood,2016,,441.0
Viet Nam,Storm,2016,11.0,11090.0
Malaysia,Flood,2016,,400.0
Viet Nam,Flood,2016,8.0,509.0
Viet Nam,Flood,2017,1.0,4104.0
Malaysia,Flood,2017,2.0,13000.0
Malaysia,Storm,2017,,426.0
Viet Nam,Storm,2018,13.0,50000.0
Viet Nam,Storm,2018,19.0,10028.0
Viet Nam,Flood,2019,3.0,265.0
Viet Nam,Flood,2022,2.0,10000.0
Viet Nam,Storm,2022,2.0,54412.0
Viet Nam,Flood,2022,10.0,
Viet Nam,Flood,2022,,226.0
Malaysia,Flood,2021,2.0,255.0
Malaysia,Flood,2021,7.0,4828.0
Malaysia,Flood,2022,,3107.0
Viet Nam,Flood,2016,35.0,659615.0
Viet Nam,Flood,2016,27.0,562121.0
Viet Nam,Storm,2017,1.0,1.0
Viet Nam,Storm,2017,123.0,4330000.0
